"t,B"
"0,192.8733162"
"0.04,192.8768793"
"0.12,192.8772115"
"0.16,192.8772553"
"0.2,192.8772513"
"0.24,192.8772513"
"0.32,192.8756737"
"0.36,192.8772513"
"0.4,192.8769648"
"0.44,192.8772513"
"0.52,192.8772513"
"0.56,192.8772513"
"0.6,192.8772314"
"0.64,192.8772314"
"0.72,192.8755324"
"0.76,192.8765908"
"0.8,192.8771956"
"0.88,192.8771956"
"0.92,192.8771956"
"0.96,192.8771956"
"1,192.88"
"1.04,192.876941"
"1.12,192.876941"
"1.16,192.8754131"
"1.2,192.8470575"
"1.24,192.8697551"
"1.32,192.871283"
"1.36,192.8710482"
"1.4,192.8692418"
"1.56,178.6879577"
"1.64,176.7592574"
"1.68,176.2695935"
"1.76,177.0937108"
"1.84,179.7958532"
"1.88,190.4963762"
"1.96,192.883156"
"2.04,192.8794715"
"2.08,192.8771956"
"2.16,192.8789006"
"2.24,192.873354"
"2.28,192.876561"
"2.36,192.876561"
"2.44,192.8735669"
"2.48,192.8742134"
"2.56,192.8742293"
"2.64,192.8742293"
"2.68,192.8742293"
"2.76,192.8715893"
"2.84,192.8736544"
"2.88,192.8736544"
"2.96,192.8726358"
"3.04,192.8726358"
"3.08,192.8700356"
"3.16,192.8726656"
"3.2,192.8726219"
"3.28,192.8726219"
"3.36,192.8726219"
"3.4,192.8726219"
"3.48,192.8726219"
"3.56,192.8726219"
"3.6,192.8726219"
"3.68,192.8726219"
"3.72,192.8726219"
"3.8,192.8726219"
"3.88,192.8726219"
"3.92,192.8726219"
"4,192.87"
"4.08,192.8726219"
"4.16,192.8726219"
"4.2,192.872031"
"4.28,192.8726219"
"4.36,192.8726219"
"4.4,192.8726219"
"4.48,192.8726219"
"4.56,192.8726219"
"4.6,192.8726219"
"4.68,192.8726219"
"4.76,192.8725741"
"4.8,192.8726219"
"4.88,192.8726219"
"4.92,192.8728566"
"5,192.87"
"5.08,192.8713705"
"5.16,192.8727711"
"5.2,192.8719614"
"5.28,192.8728526"
"5.32,192.8685893"
"5.4,186.7112939"
"5.48,179.6615021"
"5.52,177.4651241"
"5.6,176.2741116"
"5.68,176.2171737"
"5.72,177.2522635"
"5.8,186.4117771"
"5.84,191.0642053"
"5.92,192.8947027"
"5.96,192.8814829"
"6.04,192.8898684"
"6.08,192.8872662"
"6.16,192.8741259"
"6.24,192.883335"
"6.32,192.8843695"
"6.36,192.8843695"
"6.44,192.883335"
"6.48,192.8828416"
"6.56,192.8843695"
"6.64,192.8843695"
"6.68,192.8843695"
"6.76,192.8843695"
"6.8,192.8820777"
"6.88,192.882587"
"6.96,192.882587"
"7.04,192.8704335"
"7.08,192.8810889"
"7.16,192.8810293"
"7.24,192.8810293"
"7.28,192.8810293"
"7.36,192.8810293"
"7.44,192.8810293"
"7.48,192.8810293"
"7.56,192.8810293"
"7.64,192.8810293"
"7.68,192.8810293"
"7.76,192.8810293"
"7.8,192.8810293"
"7.88,192.8810293"
"7.96,192.8810293"
"8.04,192.8810293"
"8.08,192.8810293"
"8.16,192.88052"
"8.2,192.8810293"
"8.28,192.8810293"
"8.36,192.8792149"
"8.4,192.8798833"
"8.48,192.879374"
"8.56,192.8798833"
"8.64,192.8798833"
"8.68,192.8798833"
"8.76,192.8798833"
"8.8,192.8789105"
"8.88,192.8785564"
"8.96,192.8789384"
"9.04,192.8790657"
"9.12,192.8790657"
"9.16,192.8789384"
"9.24,192.8790657"
"9.32,190.2596324"
"9.36,181.2147227"
"9.44,178.3789851"
"9.52,176.5987729"
"9.56,176.2143606"
"9.64,177.4468053"
"9.72,187.1991055"
"9.76,191.5549216"
"9.84,192.8927769"
"9.92,192.892395"
"9.96,192.8924089"
"10.04,192.8924089"
"10.12,192.8924089"
"10.16,192.8896077"
"10.24,192.8864246"
"10.32,192.8885891"
"10.36,192.8885891"
"10.44,192.8885891"
"10.52,192.8885891"
"10.56,192.8885891"
"10.64,192.8885891"
"10.72,192.8885891"
"10.76,192.8885891"
"10.84,192.8885891"
"10.88,192.8885891"
"10.92,192.8885891"
"11,192.89"
"11.04,192.8885991"
"11.12,192.8885553"
"11.16,192.8885553"
