"t,B"
"0,192.8227579"
"0.08,192.8227579"
"0.12,192.8227579"
"0.2,192.8227579"
"0.28,192.8234303"
"0.32,192.8233189"
"0.4,192.8233388"
"0.48,192.8233388"
"0.52,192.8233388"
"0.6,192.8233388"
"0.68,192.8228295"
"0.72,192.8233388"
"0.8,192.8233388"
"0.88,192.8233388"
"0.96,192.8223202"
"1,192.80"
"1.08,192.8223202"
"1.16,192.8233388"
"1.2,192.8228295"
"1.28,192.8233388"
"1.36,192.8233388"
"1.4,192.8233388"
"1.48,192.8228295"
"1.56,192.8233388"
"1.6,192.8233388"
"1.68,192.8233388"
"1.76,192.8233388"
"1.8,192.8213017"
"1.88,192.8233388"
"1.96,192.8233388"
"2,192.82"
"2.08,192.8228295"
"2.16,192.892672"
"2.2,192.8821682"
"2.28,192.88219"
"2.36,192.882196"
"2.44,192.2068537"
"2.48,188.0853496"
"2.56,182.3603648"
"2.64,179.564328"
"2.68,178.2135499"
"2.76,177.0396997"
"2.84,176.3596387"
"2.88,176.19858"
"2.96,176.5013567"
"3.04,177.6171614"
"3.08,183.377155"
"3.16,189.8046368"
"3.24,192.8604642"
"3.28,192.8556022"
"3.4,192.8586937"
"3.44,192.8586937"
"3.52,192.8586937"
"3.64,192.8560041"
"3.68,192.839938"
"3.76,192.8549855"
"3.8,192.8549855"
"3.88,192.8549855"
"3.96,192.8538397"
"4,192.85"
"4.08,192.8522959"
"4.16,192.8517866"
"4.2,192.8522959"
"4.28,192.8522959"
"4.36,192.8502588"
"4.4,192.8507681"
"4.48,192.8507681"
"4.56,192.8507681"
"4.6,192.8507681"
"4.68,192.8507681"
"4.76,192.8507681"
"4.8,192.8507681"
"4.88,192.8507681"
"4.96,192.8475533"
"5,192.85"
"5.08,192.8493358"
"5.16,192.8493358"
"5.2,192.8493676"
"5.28,192.8493119"
"5.36,192.849296"
"5.4,192.849292"
"5.48,192.849292"
"5.56,192.849292"
"5.6,192.849292"
"5.68,192.849292"
"5.76,192.849292"
"5.8,192.849292"
"5.88,192.849292"
"5.96,192.849292"
"6,192.85"
"6.08,192.849292"
"6.16,192.849292"
"6.2,192.849292"
"6.28,192.849292"
"6.36,192.849292"
"6.44,192.849292"
"6.48,192.849292"
"6.56,192.849292"
"6.64,192.849292"
"6.72,192.849292"
"6.76,192.849292"
"6.84,192.849292"
"6.92,192.8480188"
"6.96,192.8497217"
"7.04,192.8497137"
"7.08,192.8497137"
"7.16,192.8497137"
"7.24,192.8497137"
"7.28,192.8499684"
"7.36,192.8494591"
"7.44,192.8494591"
"7.48,192.8494591"
"7.52,192.8489498"
"7.6,192.8494591"
"7.64,192.8494591"
"7.68,192.8489498"
"7.76,192.8494591"
"7.8,192.8494591"
"7.84,192.8484405"
"7.92,192.8494591"
"8,192.85"
"8.04,192.8455759"
"8.12,192.8478676"
"8.2,192.8478676"
"8.24,192.8478676"
"8.32,192.8478676"
"8.36,192.8464353"
"8.44,192.8320562"
"8.52,192.8471037"
"8.56,192.8471037"
"8.64,192.8471037"
"8.72,192.8471037"
"8.76,192.8872032"
"8.84,192.8788061"
"8.92,192.8727306"
"8.96,192.8647692"
"9.04,189.9472521"
"9.12,187.4216928"
"9.16,181.7128179"
"9.24,179.3825581"
"9.32,177.4247882"
"9.4,176.5065649"
"9.44,176.1630898"
"9.52,176.3085737"
"9.6,177.0556186"
"9.68,180.6889018"
"9.72,187.6104135"
"9.8,192.3236631"
"9.88,192.8513987"
"9.92,192.852469"
"10,192.85"
"10.04,192.852469"
"10.12,192.8492064"
"10.16,192.8519597"
"10.24,192.8519597"
"10.28,192.8519597"
"10.36,192.8519597"
"10.4,192.8519597"
"10.48,192.8519597"
"10.56,192.8519597"
"10.6,192.8519597"
"10.68,192.8507502"
"10.76,192.8518324"
"10.84,192.8510685"
"10.88,192.8518324"
"10.96,192.8494133"
"11,192.85"
"11.08,192.8488404"
"11.16,192.8503682"
"11.2,192.8503682"
"11.28,192.8503682"
"11.36,192.8503682"
"11.4,192.8283818"
"11.48,192.8477582"
"11.56,192.8477582"
"11.64,192.8477582"
"11.72,192.8477582"
"11.76,192.8477582"
"11.84,192.8476985"
"11.88,192.8461906"
"11.96,192.8476925"
"12.04,192.8476925"
"12.08,192.8476925"
"12.16,192.8476925"
"12.24,192.8476925"
"12.28,192.8476925"
"12.36,192.8476925"
"12.44,192.8476925"
"12.48,192.8476925"
"12.56,192.8476925"
"12.64,192.8476925"
"12.68,192.8476925"
"12.76,192.8476925"
"12.84,192.8476925"
"12.88,192.8476925"
"12.96,192.8476925"
"13.04,192.8476925"
"13.08,192.8476925"
"13.16,192.8476925"
"13.24,192.8476925"
"13.28,192.8476925"
"13.36,192.8476925"
"13.44,192.8476925"
"13.48,192.8446369"
"13.56,192.8474379"
"13.64,192.8473782"
"13.68,192.8473782"
"13.76,192.8473981"
"13.84,192.847412"
"13.88,192.847412"
"13.96,192.847412"
"14.04,192.8466481"
"14.08,192.847412"
"14.16,192.8461388"
"14.24,192.847412"
"14.28,192.847412"
"14.36,192.847412"
"14.44,192.847412"
"14.48,192.847412"
"14.56,192.847412"
"14.64,192.847412"
"14.68,192.847412"
"14.76,192.847412"
"14.84,192.847412"
"14.88,192.847412"
"14.96,192.847412"
"15.04,192.8469028"
"15.12,192.847412"
"15.2,192.847412"
"15.24,192.847412"
"15.32,192.847412"
"15.36,192.847412"
"15.44,192.8940248"
"15.52,192.8835627"
"15.56,192.8838352"
"15.64,191.4713433"
"15.72,183.8261915"
