"t,B"
"15.8,179.9439239"
"15.88,178.5489681"
"15.92,177.2921237"
"16,176.47"
"16.08,176.1828919"
"16.16,176.3962807"
"16.24,177.2335768"
"16.28,181.5119939"
"16.36,188.357703"
"16.44,192.6198093"
"16.48,192.8622726"
"16.56,192.8529962"
"16.64,192.8571122"
"16.68,192.8540247"
"16.76,192.8568575"
"16.84,192.8528311"
"16.88,192.855648"
"16.96,192.855648"
"17.04,192.8564437"
"17.12,192.8564437"
"17.16,192.8564437"
"17.24,192.8564437"
"17.32,192.8564437"
"17.36,192.8564437"
"17.44,192.8564437"
"17.52,192.8564437"
"17.56,192.854534"
"17.64,192.8559345"
"17.68,192.8536427"
"17.76,192.8551387"
"17.84,192.8559345"
"17.92,192.8559345"
"18,192.86"
"18.04,192.8559345"
"18.12,192.8559345"
"18.2,192.8559345"
"18.24,192.8559345"
"18.32,192.8521945"
"18.36,192.8538496"
"18.44,192.854717"
"18.52,192.8547488"
"18.6,192.8545658"
"18.64,192.8544981"
"18.72,192.8544981"
